month_end,ticker
2026-06-30,A
2026-06-30,AAPL
2026-06-30,ABBV
2026-06-30,ABNB
2026-06-30,ABT
2026-06-30,ACGL
2026-06-30,ACN
2026-06-30,ADBE
2026-06-30,ADI
2026-06-30,ADM
2026-06-30,ADP
2026-06-30,ADSK
2026-06-30,AEE
2026-06-30,AEP
2026-06-30,AES
2026-06-30,AFL
2026-06-30,AIG
2026-06-30,AIZ
2026-06-30,AJG
2026-06-30,AKAM
2026-06-30,ALB
2026-06-30,ALGN
2026-06-30,ALL
2026-06-30,ALLE
2026-06-30,AMAT
2026-06-30,AMCR
2026-06-30,AMD
2026-06-30,AME
2026-06-30,AMGN
2026-06-30,AMP
2026-06-30,AMT
2026-06-30,AMZN
2026-06-30,ANET
2026-06-30,AON
2026-06-30,AOS
2026-06-30,APA
2026-06-30,APD
2026-06-30,APH
2026-06-30,APO
2026-06-30,APP
2026-06-30,APTV
2026-06-30,ARE
2026-06-30,ARES
2026-06-30,ATO
2026-06-30,AVB
2026-06-30,AVGO
2026-06-30,AVY
2026-06-30,AWK
2026-06-30,AXON
2026-06-30,AXP
2026-06-30,AZO
2026-06-30,BA
2026-06-30,BAC
2026-06-30,BALL
2026-06-30,BAX
2026-06-30,BBY
2026-06-30,BDX
2026-06-30,BEN
2026-06-30,BF-B
2026-06-30,BG
2026-06-30,BIIB
2026-06-30,BKNG
2026-06-30,BKR
2026-06-30,BLDR
2026-06-30,BLK
2026-06-30,BMY
2026-06-30,BNY
2026-06-30,BR
2026-06-30,BRK-B
2026-06-30,BRO
2026-06-30,BSX
2026-06-30,BX
2026-06-30,BXP
2026-06-30,C
2026-06-30,CAH
2026-06-30,CARR
2026-06-30,CASY
2026-06-30,CAT
2026-06-30,CB
2026-06-30,CBOE
2026-06-30,CBRE
2026-06-30,CCI
2026-06-30,CCL
2026-06-30,CDNS
2026-06-30,CDW
2026-06-30,CEG
2026-06-30,CF
2026-06-30,CFG
2026-06-30,CHD
2026-06-30,CHRW
2026-06-30,CHTR
2026-06-30,CI
2026-06-30,CIEN
2026-06-30,CINF
2026-06-30,CL
2026-06-30,CLX
2026-06-30,CMCSA
2026-06-30,CME
2026-06-30,CMG
2026-06-30,CMI
2026-06-30,CMS
2026-06-30,CNC
2026-06-30,CNP
2026-06-30,COF
2026-06-30,COHR
2026-06-30,COIN
2026-06-30,COO
2026-06-30,COP
2026-06-30,COR
2026-06-30,COST
2026-06-30,CPAY
2026-06-30,CPRT
2026-06-30,CPT
2026-06-30,CRH
2026-06-30,CRL
2026-06-30,CRM
2026-06-30,CRWD
2026-06-30,CSCO
2026-06-30,CSGP
2026-06-30,CSX
2026-06-30,CTAS
2026-06-30,CTSH
2026-06-30,CTVA
2026-06-30,CVNA
2026-06-30,CVS
2026-06-30,CVX
2026-06-30,D
2026-06-30,DAL
2026-06-30,DASH
2026-06-30,DD
2026-06-30,DDOG
2026-06-30,DE
2026-06-30,DECK
2026-06-30,DELL
2026-06-30,DG
2026-06-30,DGX
2026-06-30,DHI
2026-06-30,DHR
2026-06-30,DIS
2026-06-30,DLR
2026-06-30,DLTR
2026-06-30,DOC
2026-06-30,DOV
2026-06-30,DOW
2026-06-30,DPZ
2026-06-30,DRI
2026-06-30,DTE
2026-06-30,DUK
2026-06-30,DVA
2026-06-30,DVN
2026-06-30,DXCM
2026-06-30,EA
2026-06-30,EBAY
2026-06-30,ECHO
2026-06-30,ECL
2026-06-30,ED
2026-06-30,EFX
2026-06-30,EG
2026-06-30,EIX
2026-06-30,EL
2026-06-30,ELV
2026-06-30,EME
2026-06-30,EMR
2026-06-30,EOG
2026-06-30,EQIX
2026-06-30,EQR
2026-06-30,EQT
2026-06-30,ERIE
2026-06-30,ES
2026-06-30,ESS
2026-06-30,ETN
2026-06-30,ETR
2026-06-30,EVRG
2026-06-30,EW
2026-06-30,EXC
2026-06-30,EXE
2026-06-30,EXPD
2026-06-30,EXPE
2026-06-30,EXR
2026-06-30,F
2026-06-30,FANG
2026-06-30,FAST
2026-06-30,FCX
2026-06-30,FDS
2026-06-30,FDX
2026-06-30,FDXF
2026-06-30,FE
2026-06-30,FFIV
2026-06-30,FICO
2026-06-30,FIS
2026-06-30,FISV
2026-06-30,FITB
2026-06-30,FIX
2026-06-30,FLEX
2026-06-30,FOX
2026-06-30,FOXA
2026-06-30,FRT
2026-06-30,FSLR
2026-06-30,FTNT
2026-06-30,FTV
2026-06-30,GD
2026-06-30,GDDY
2026-06-30,GE
2026-06-30,GEHC
2026-06-30,GEN
2026-06-30,GEV
2026-06-30,GILD
2026-06-30,GIS
2026-06-30,GL
2026-06-30,GLW
2026-06-30,GM
2026-06-30,GNRC
2026-06-30,GOOG
2026-06-30,GOOGL
2026-06-30,GPC
2026-06-30,GPN
2026-06-30,GRMN
2026-06-30,GS
2026-06-30,GWW
2026-06-30,HAL
2026-06-30,HAS
2026-06-30,HBAN
2026-06-30,HCA
2026-06-30,HD
2026-06-30,HIG
2026-06-30,HII
2026-06-30,HLT
2026-06-30,HON
2026-06-30,HONA
2026-06-30,HOOD
2026-06-30,HPE
2026-06-30,HPQ
2026-06-30,HRL
2026-06-30,HSIC
2026-06-30,HST
2026-06-30,HSY
2026-06-30,HUBB
2026-06-30,HUM
2026-06-30,HWM
2026-06-30,IBKR
2026-06-30,IBM
2026-06-30,ICE
2026-06-30,IDXX
2026-06-30,IEX
2026-06-30,IFF
2026-06-30,INCY
2026-06-30,INTC
2026-06-30,INTU
2026-06-30,INVH
2026-06-30,IP
2026-06-30,IQV
2026-06-30,IR
2026-06-30,IRM
2026-06-30,ISRG
2026-06-30,IT
2026-06-30,ITW
2026-06-30,IVZ
2026-06-30,J
2026-06-30,JBHT
2026-06-30,JBL
2026-06-30,JCI
2026-06-30,JKHY
2026-06-30,JNJ
2026-06-30,JPM
2026-06-30,KDP
2026-06-30,KEY
2026-06-30,KEYS
2026-06-30,KHC
2026-06-30,KIM
2026-06-30,KKR
2026-06-30,KLAC
2026-06-30,KMB
2026-06-30,KMI
2026-06-30,KO
2026-06-30,KR
2026-06-30,KVUE
2026-06-30,L
2026-06-30,LDOS
2026-06-30,LEN
2026-06-30,LH
2026-06-30,LHX
2026-06-30,LII
2026-06-30,LIN
2026-06-30,LITE
2026-06-30,LLY
2026-06-30,LMT
2026-06-30,LNT
2026-06-30,LOW
2026-06-30,LRCX
2026-06-30,LULU
2026-06-30,LUV
2026-06-30,LVS
2026-06-30,LYB
2026-06-30,LYV
2026-06-30,MA
2026-06-30,MAA
2026-06-30,MAR
2026-06-30,MAS
2026-06-30,MCD
2026-06-30,MCHP
2026-06-30,MCK
2026-06-30,MCO
2026-06-30,MDLZ
2026-06-30,MDT
2026-06-30,MET
2026-06-30,META
2026-06-30,MGM
2026-06-30,MKC
2026-06-30,MLM
2026-06-30,MMM
2026-06-30,MNST
2026-06-30,MO
2026-06-30,MOS
2026-06-30,MPC
2026-06-30,MPWR
2026-06-30,MRK
2026-06-30,MRNA
2026-06-30,MRSH
2026-06-30,MRVL
2026-06-30,MS
2026-06-30,MSCI
2026-06-30,MSFT
2026-06-30,MSI
2026-06-30,MTB
2026-06-30,MTD
2026-06-30,MU
2026-06-30,NCLH
2026-06-30,NDAQ
2026-06-30,NDSN
2026-06-30,NEE
2026-06-30,NEM
2026-06-30,NFLX
2026-06-30,NI
2026-06-30,NKE
2026-06-30,NOC
2026-06-30,NOW
2026-06-30,NRG
2026-06-30,NSC
2026-06-30,NTAP
2026-06-30,NTRS
2026-06-30,NUE
2026-06-30,NVDA
2026-06-30,NVR
2026-06-30,NWS
2026-06-30,NWSA
2026-06-30,NXPI
2026-06-30,O
2026-06-30,ODFL
2026-06-30,OKE
2026-06-30,OMC
2026-06-30,ON
2026-06-30,ORCL
2026-06-30,ORLY
2026-06-30,OTIS
2026-06-30,OXY
2026-06-30,PANW
2026-06-30,PAYX
2026-06-30,PCAR
2026-06-30,PCG
2026-06-30,PEG
2026-06-30,PEP
2026-06-30,PFE
2026-06-30,PFG
2026-06-30,PG
2026-06-30,PGR
2026-06-30,PH
2026-06-30,PHM
2026-06-30,PKG
2026-06-30,PLD
2026-06-30,PLTR
2026-06-30,PM
2026-06-30,PNC
2026-06-30,PNR
2026-06-30,PNW
2026-06-30,PODD
2026-06-30,PPG
2026-06-30,PPL
2026-06-30,PRU
2026-06-30,PSA
2026-06-30,PSKY
2026-06-30,PSX
2026-06-30,PTC
2026-06-30,PWR
2026-06-30,PYPL
2026-06-30,Q
2026-06-30,QCOM
2026-06-30,RCL
2026-06-30,REG
2026-06-30,REGN
2026-06-30,RF
2026-06-30,RJF
2026-06-30,RL
2026-06-30,RMD
2026-06-30,ROK
2026-06-30,ROL
2026-06-30,ROP
2026-06-30,ROST
2026-06-30,RSG
2026-06-30,RTX
2026-06-30,RVTY
2026-06-30,SBAC
2026-06-30,SBUX
2026-06-30,SCHW
2026-06-30,SHW
2026-06-30,SJM
